Language_ID,Parameter_ID,Value
Palmerston English,Comparatives and superlatives of participles,?
Acrolectal Fiji English,Comparatives and superlatives of participles,?
Pure Fiji English (basilectal FijiE),Comparatives and superlatives of participles,D
Bislama,Comparatives and superlatives of participles,X
Tok Pisin,Comparatives and superlatives of participles,X
Hawaiʼi Creole,Comparatives and superlatives of participles,D
Falkland Islands English,Comparatives and superlatives of participles,D
St. Helena English,Comparatives and superlatives of participles,D
Tristan da Cunha English,Comparatives and superlatives of participles,D
Philippine English,Comparatives and superlatives of participles,D
Cape Flats English,Comparatives and superlatives of participles,D
Orkney and Shetland English,Comparative marking only with than,D
Scottish English,Comparative marking only with than,D
Irish English,Comparative marking only with than,D
Manx English,Comparative marking only with than,D
Welsh English,Comparative marking only with than,D
English dialects in the North of England,Comparative marking only with than,D
English dialects in the Southwest of England,Comparative marking only with than,?
East Anglian English,Comparative marking only with than,D
English dialects in the Southeast of England,Comparative marking only with than,D
Channel Islands English,Comparative marking only with than,D
British Creole,Comparative marking only with than,D
Maltese English,Comparative marking only with than,D
Newfoundland English,Comparative marking only with than,D
Colloquial American English,Comparative marking only with than,X
Urban African American Vernacular English,Comparative marking only with than,C
Rural African American Vernacular English,Comparative marking only with than,C
Earlier African American Vernacular English,Comparative marking only with than,D
Ozark English,Comparative marking only with than,D
Appalachian English,Comparative marking only with than,D
Southeast American enclave dialects,Comparative marking only with than,D
Gullah,Comparative marking only with than,D
Chicano English,Comparative marking only with than,D
Bahamian English,Comparative marking only with than,D
Bahamian Creole,Comparative marking only with than,D
Barbadian Creole (Bajan),Comparative marking only with than,D
Jamaican English,Comparative marking only with than,D
Jamaican Creole,Comparative marking only with than,D
San Andrés Creole,Comparative marking only with than,D
Belizean Creole,Comparative marking only with than,D
Guyanese Creole (Creolese),Comparative marking only with than,D
Eastern Maroon Creole,Comparative marking only with than,X
Saramaccan,Comparative marking only with than,D
Sranan,Comparative marking only with than,D
Trinidadian Creole,Comparative marking only with than,D
Vincentian Creole,Comparative marking only with than,D
Krio (Sierra Leone Creole),Comparative marking only with than,X
Liberian Settler English,Comparative marking only with than,C
Vernacular Liberian English,Comparative marking only with than,C
Ghanaian English,Comparative marking only with than,C
Ghanaian Pidgin,Comparative marking only with than,X
Nigerian English,Comparative marking only with than,C
Nigerian Pidgin,Comparative marking only with than,D
Cameroon English,Comparative marking only with than,A
Cameroon Pidgin,Comparative marking only with than,X
Tanzanian English,Comparative marking only with than,B
Kenyan English,Comparative marking only with than,B
Ugandan English,Comparative marking only with than,B
White Zimbabwean English,Comparative marking only with than,D
Black South African English,Comparative marking only with than,B
Indian South African English,Comparative marking only with than,D
White South African English,Comparative marking only with than,D
Indian English,Comparative marking only with than,C
Pakistani English,Comparative marking only with than,D
Butler English,Comparative marking only with than,C
Sri Lankan English,Comparative marking only with than,C
Hong Kong English,Comparative marking only with than,A
Colloquial Singapore English (Singlish),Comparative marking only with than,D
Malaysian English,Comparative marking only with than,B
Australian English,Comparative marking only with than,D
Australian Vernacular English,Comparative marking only with than,?
Aboriginal English,Comparative marking only with than,D
Roper River Creole (Kriol),Comparative marking only with than,D
Torres Strait Creole,Comparative marking only with than,D
New Zealand English,Comparative marking only with than,D
Norfolk Island/ Pitcairn English,Comparative marking only with than,D
Palmerston English,Comparative marking only with than,?
Acrolectal Fiji English,Comparative marking only with than,?
Pure Fiji English (basilectal FijiE),Comparative marking only with than,C
Bislama,Comparative marking only with than,X
Tok Pisin,Comparative marking only with than,X
Hawaiʼi Creole,Comparative marking only with than,D
Falkland Islands English,Comparative marking only with than,D
St. Helena English,Comparative marking only with than,D
Tristan da Cunha English,Comparative marking only with than,D
Philippine English,Comparative marking only with than,C
Cape Flats English,Comparative marking only with than,D
Orkney and Shetland English,Comparative marking with more…and,D
Scottish English,Comparative marking with more…and,D
Irish English,Comparative marking with more…and,D
Manx English,Comparative marking with more…and,D
Welsh English,Comparative marking with more…and,D
English dialects in the North of England,Comparative marking with more…and,D
English dialects in the Southwest of England,Comparative marking with more…and,?
East Anglian English,Comparative marking with more…and,D
English dialects in the Southeast of England,Comparative marking with more…and,D
Channel Islands English,Comparative marking with more…and,D
British Creole,Comparative marking with more…and,D
Maltese English,Comparative marking with more…and,D
Newfoundland English,Comparative marking with more…and,?
Colloquial American English,Comparative marking with more…and,D
Urban African American Vernacular English,Comparative marking with more…and,C
Rural African American Vernacular English,Comparative marking with more…and,C
Earlier African American Vernacular English,Comparative marking with more…and,D
Ozark English,Comparative marking with more…and,D
Appalachian English,Comparative marking with more…and,D
Southeast American enclave dialects,Comparative marking with more…and,D
Gullah,Comparative marking with more…and,A
Chicano English,Comparative marking with more…and,D
Bahamian English,Comparative marking with more…and,C
Bahamian Creole,Comparative marking with more…and,D
Barbadian Creole (Bajan),Comparative marking with more…and,D
Jamaican English,Comparative marking with more…and,D
Jamaican Creole,Comparative marking with more…and,D
San Andrés Creole,Comparative marking with more…and,D
Belizean Creole,Comparative marking with more…and,D
Guyanese Creole (Creolese),Comparative marking with more…and,D
Eastern Maroon Creole,Comparative marking with more…and,X
Saramaccan,Comparative marking with more…and,D
Sranan,Comparative marking with more…and,D
Trinidadian Creole,Comparative marking with more…and,D
Vincentian Creole,Comparative marking with more…and,D
Krio (Sierra Leone Creole),Comparative marking with more…and,X
Liberian Settler English,Comparative marking with more…and,D
Vernacular Liberian English,Comparative marking with more…and,D
Ghanaian English,Comparative marking with more…and,D
Ghanaian Pidgin,Comparative marking with more…and,X
Nigerian English,Comparative marking with more…and,C
Nigerian Pidgin,Comparative marking with more…and,X
Cameroon English,Comparative marking with more…and,A
Cameroon Pidgin,Comparative marking with more…and,X
Tanzanian English,Comparative marking with more…and,X
Kenyan English,Comparative marking with more…and,D
Ugandan English,Comparative marking with more…and,C
White Zimbabwean English,Comparative marking with more…and,D
Black South African English,Comparative marking with more…and,D
Indian South African English,Comparative marking with more…and,D
White South African English,Comparative marking with more…and,D
Indian English,Comparative marking with more…and,D
Pakistani English,Comparative marking with more…and,?
Butler English,Comparative marking with more…and,D
Sri Lankan English,Comparative marking with more…and,D
Hong Kong English,Comparative marking with more…and,D
Colloquial Singapore English (Singlish),Comparative marking with more…and,D
Malaysian English,Comparative marking with more…and,D
Australian English,Comparative marking with more…and,D
Australian Vernacular English,Comparative marking with more…and,X
Aboriginal English,Comparative marking with more…and,D
Roper River Creole (Kriol),Comparative marking with more…and,D
Torres Strait Creole,Comparative marking with more…and,D
New Zealand English,Comparative marking with more…and,D
Norfolk Island/ Pitcairn English,Comparative marking with more…and,D
Palmerston English,Comparative marking with more…and,?
Acrolectal Fiji English,Comparative marking with more…and,?
Pure Fiji English (basilectal FijiE),Comparative marking with more…and,D
Bislama,Comparative marking with more…and,D
Tok Pisin,Comparative marking with more…and,X
Hawaiʼi Creole,Comparative marking with more…and,D
Falkland Islands English,Comparative marking with more…and,D
St. Helena English,Comparative marking with more…and,D
Tristan da Cunha English,Comparative marking with more…and,D
Philippine English,Comparative marking with more…and,D
Cape Flats English,Comparative marking with more…and,D
Orkney and Shetland English,Zero marking of degree,D
Scottish English,Zero marking of degree,D
Irish English,Zero marking of degree,D
Manx English,Zero marking of degree,D
Welsh English,Zero marking of degree,D
English dialects in the North of England,Zero marking of degree,D
English dialects in the Southwest of England,Zero marking of degree,?
East Anglian English,Zero marking of degree,D
English dialects in the Southeast of England,Zero marking of degree,D
Channel Islands English,Zero marking of degree,D
British Creole,Zero marking of degree,D
Maltese English,Zero marking of degree,D
Newfoundland English,Zero marking of degree,?
Colloquial American English,Zero marking of degree,X
Urban African American Vernacular English,Zero marking of degree,C
Rural African American Vernacular English,Zero marking of degree,C
Earlier African American Vernacular English,Zero marking of degree,D
Ozark English,Zero marking of degree,D
Appalachian English,Zero marking of degree,D
Southeast American enclave dialects,Zero marking of degree,C
Gullah,Zero marking of degree,B
Chicano English,Zero marking of degree,?
Bahamian English,Zero marking of degree,D
Bahamian Creole,Zero marking of degree,D
Barbadian Creole (Bajan),Zero marking of degree,D
Jamaican English,Zero marking of degree,D
Jamaican Creole,Zero marking of degree,?
San Andrés Creole,Zero marking of degree,D
Belizean Creole,Zero marking of degree,D
Guyanese Creole (Creolese),Zero marking of degree,D
Eastern Maroon Creole,Zero marking of degree,X
Saramaccan,Zero marking of degree,D
Sranan,Zero marking of degree,D
Trinidadian Creole,Zero marking of degree,D
Vincentian Creole,Zero marking of degree,C
Krio (Sierra Leone Creole),Zero marking of degree,D
Liberian Settler English,Zero marking of degree,C
Vernacular Liberian English,Zero marking of degree,B
Ghanaian English,Zero marking of degree,D
Ghanaian Pidgin,Zero marking of degree,D
Nigerian English,Zero marking of degree,D
Nigerian Pidgin,Zero marking of degree,D
Cameroon English,Zero marking of degree,C
Cameroon Pidgin,Zero marking of degree,D
Tanzanian English,Zero marking of degree,X
Kenyan English,Zero marking of degree,C
Ugandan English,Zero marking of degree,B
White Zimbabwean English,Zero marking of degree,D
Black South African English,Zero marking of degree,A
Indian South African English,Zero marking of degree,D
White South African English,Zero marking of degree,D
Indian English,Zero marking of degree,C
Pakistani English,Zero marking of degree,D
Butler English,Zero marking of degree,C
Sri Lankan English,Zero marking of degree,D
Hong Kong English,Zero marking of degree,A
Colloquial Singapore English (Singlish),Zero marking of degree,D
Malaysian English,Zero marking of degree,D
Australian English,Zero marking of degree,D
Australian Vernacular English,Zero marking of degree,X
Aboriginal English,Zero marking of degree,D
Roper River Creole (Kriol),Zero marking of degree,?
Torres Strait Creole,Zero marking of degree,D
New Zealand English,Zero marking of degree,D
Norfolk Island/ Pitcairn English,Zero marking of degree,D
Palmerston English,Zero marking of degree,?
Acrolectal Fiji English,Zero marking of degree,?
Pure Fiji English (basilectal FijiE),Zero marking of degree,C
Bislama,Zero marking of degree,?
Tok Pisin,Zero marking of degree,X
Hawaiʼi Creole,Zero marking of degree,D
Falkland Islands English,Zero marking of degree,D
St. Helena English,Zero marking of degree,D
Tristan da Cunha English,Zero marking of degree,D
Philippine English,Zero marking of degree,C
Cape Flats English,Zero marking of degree,D
Orkney and Shetland English,Attributive adjectival modifiers follow head noun,D
Scottish English,Attributive adjectival modifiers follow head noun,D
Irish English,Attributive adjectival modifiers follow head noun,D
Manx English,Attributive adjectival modifiers follow head noun,C
Welsh English,Attributive adjectival modifiers follow head noun,D
English dialects in the North of England,Attributive adjectival modifiers follow head noun,X
English dialects in the Southwest of England,Attributive adjectival modifiers follow head noun,X
East Anglian English,Attributive adjectival modifiers follow head noun,D
English dialects in the Southeast of England,Attributive adjectival modifiers follow head noun,D
Channel Islands English,Attributive adjectival modifiers follow head noun,D
British Creole,Attributive adjectival modifiers follow head noun,D
Maltese English,Attributive adjectival modifiers follow head noun,D
Newfoundland English,Attributive adjectival modifiers follow head noun,D
Colloquial American English,Attributive adjectival modifiers follow head noun,X
Urban African American Vernacular English,Attributive adjectival modifiers follow head noun,D
Rural African American Vernacular English,Attributive adjectival modifiers follow head noun,D
Earlier African American Vernacular English,Attributive adjectival modifiers follow head noun,D
Ozark English,Attributive adjectival modifiers follow head noun,X
Appalachian English,Attributive adjectival modifiers follow head noun,D
Southeast American enclave dialects,Attributive adjectival modifiers follow head noun,D
Gullah,Attributive adjectival modifiers follow head noun,D
Chicano English,Attributive adjectival modifiers follow head noun,X
Bahamian English,Attributive adjectival modifiers follow head noun,D
Bahamian Creole,Attributive adjectival modifiers follow head noun,D
Barbadian Creole (Bajan),Attributive adjectival modifiers follow head noun,D
Jamaican English,Attributive adjectival modifiers follow head noun,D
Jamaican Creole,Attributive adjectival modifiers follow head noun,D
San Andrés Creole,Attributive adjectival modifiers follow head noun,D
Belizean Creole,Attributive adjectival modifiers follow head noun,D
Guyanese Creole (Creolese),Attributive adjectival modifiers follow head noun,D
Eastern Maroon Creole,Attributive adjectival modifiers follow head noun,X
Saramaccan,Attributive adjectival modifiers follow head noun,D
Sranan,Attributive adjectival modifiers follow head noun,D
Trinidadian Creole,Attributive adjectival modifiers follow head noun,D
Vincentian Creole,Attributive adjectival modifiers follow head noun,D
Krio (Sierra Leone Creole),Attributive adjectival modifiers follow head noun,D
Liberian Settler English,Attributive adjectival modifiers follow head noun,D
Vernacular Liberian English,Attributive adjectival modifiers follow head noun,D
Ghanaian English,Attributive adjectival modifiers follow head noun,D
Ghanaian Pidgin,Attributive adjectival modifiers follow head noun,D
Nigerian English,Attributive adjectival modifiers follow head noun,D
Nigerian Pidgin,Attributive adjectival modifiers follow head noun,X
Cameroon English,Attributive adjectival modifiers follow head noun,D
Cameroon Pidgin,Attributive adjectival modifiers follow head noun,D
Tanzanian English,Attributive adjectival modifiers follow head noun,X
Kenyan English,Attributive adjectival modifiers follow head noun,X
Ugandan English,Attributive adjectival modifiers follow head noun,D
White Zimbabwean English,Attributive adjectival modifiers follow head noun,D
Black South African English,Attributive adjectival modifiers follow head noun,D
Indian South African English,Attributive adjectival modifiers follow head noun,D
White South African English,Attributive adjectival modifiers follow head noun,D
Indian English,Attributive adjectival modifiers follow head noun,D
Pakistani English,Attributive adjectival modifiers follow head noun,D
Butler English,Attributive adjectival modifiers follow head noun,D
Sri Lankan English,Attributive adjectival modifiers follow head noun,D
Hong Kong English,Attributive adjectival modifiers follow head noun,A
Colloquial Singapore English (Singlish),Attributive adjectival modifiers follow head noun,D
Malaysian English,Attributive adjectival modifiers follow head noun,D
Australian English,Attributive adjectival modifiers follow head noun,X
Australian Vernacular English,Attributive adjectival modifiers follow head noun,X
Aboriginal English,Attributive adjectival modifiers follow head noun,B
Roper River Creole (Kriol),Attributive adjectival modifiers follow head noun,A
Torres Strait Creole,Attributive adjectival modifiers follow head noun,?
New Zealand English,Attributive adjectival modifiers follow head noun,D
Norfolk Island/ Pitcairn English,Attributive adjectival modifiers follow head noun,D
Palmerston English,Attributive adjectival modifiers follow head noun,C
Acrolectal Fiji English,Attributive adjectival modifiers follow head noun,D
Pure Fiji English (basilectal FijiE),Attributive adjectival modifiers follow head noun,D
Bislama,Attributive adjectival modifiers follow head noun,C
Tok Pisin,Attributive adjectival modifiers follow head noun,A
Hawaiʼi Creole,Attributive adjectival modifiers follow head noun,D
Falkland Islands English,Attributive adjectival modifiers follow head noun,D
St. Helena English,Attributive adjectival modifiers follow head noun,D
Tristan da Cunha English,Attributive adjectival modifiers follow head noun,D
Philippine English,Attributive adjectival modifiers follow head noun,C
Cape Flats English,Attributive adjectival modifiers follow head noun,D
Orkney and Shetland English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Scottish English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Irish English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Manx English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Welsh English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
English dialects in the North of England,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
English dialects in the Southwest of England,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,?
East Anglian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
English dialects in the Southeast of England,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Channel Islands English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
British Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Maltese English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Newfoundland English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Colloquial American English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Urban African American Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Rural African American Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Earlier African American Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Ozark English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Appalachian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Southeast American enclave dialects,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Gullah,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Chicano English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,?
Bahamian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Bahamian Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Barbadian Creole (Bajan),Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Jamaican English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Jamaican Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
San Andrés Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Belizean Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Guyanese Creole (Creolese),Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Eastern Maroon Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Saramaccan,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Sranan,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Trinidadian Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Vincentian Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Krio (Sierra Leone Creole),Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Liberian Settler English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Vernacular Liberian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Ghanaian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Ghanaian Pidgin,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Nigerian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Nigerian Pidgin,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Cameroon English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Cameroon Pidgin,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Tanzanian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Kenyan English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Ugandan English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
White Zimbabwean English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Black South African English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Indian South African English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
White South African English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Indian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Pakistani English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,?
Butler English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Sri Lankan English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Hong Kong English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Colloquial Singapore English (Singlish),Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Malaysian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Australian English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Australian Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Aboriginal English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Roper River Creole (Kriol),Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Torres Strait Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
New Zealand English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Norfolk Island/ Pitcairn English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Palmerston English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,?
Acrolectal Fiji English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Pure Fiji English (basilectal FijiE),Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,A
Bislama,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Tok Pisin,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,X
Hawaiʼi Creole,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
Falkland Islands English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,D
St. Helena English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Tristan da Cunha English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Philippine English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,B
Cape Flats English,Wider range of uses of progressive be + V-ing than in StE: extension to stative verbs,C
Orkney and Shetland English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Scottish English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Irish English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Manx English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Welsh English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
English dialects in the North of England,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
English dialects in the Southwest of England,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,?
East Anglian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
English dialects in the Southeast of England,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Channel Islands English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
British Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Maltese English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Newfoundland English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Colloquial American English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Urban African American Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Rural African American Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Earlier African American Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Ozark English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Appalachian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Southeast American enclave dialects,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Gullah,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Chicano English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,?
Bahamian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Bahamian Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Barbadian Creole (Bajan),Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Jamaican English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Jamaican Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
San Andrés Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Belizean Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Guyanese Creole (Creolese),Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Eastern Maroon Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Saramaccan,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Sranan,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Trinidadian Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Vincentian Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Krio (Sierra Leone Creole),Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Liberian Settler English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Vernacular Liberian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Ghanaian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Ghanaian Pidgin,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Nigerian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Nigerian Pidgin,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Cameroon English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Cameroon Pidgin,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Tanzanian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Kenyan English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Ugandan English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
White Zimbabwean English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Black South African English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Indian South African English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
White South African English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Indian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Pakistani English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Butler English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,A
Sri Lankan English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Hong Kong English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Colloquial Singapore English (Singlish),Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Malaysian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Australian English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Australian Vernacular English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Aboriginal English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Roper River Creole (Kriol),Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Torres Strait Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
New Zealand English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Norfolk Island/ Pitcairn English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,B
Palmerston English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,?
Acrolectal Fiji English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,?
Pure Fiji English (basilectal FijiE),Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,?
Bislama,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Tok Pisin,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,X
Hawaiʼi Creole,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Falkland Islands English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
St. Helena English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Tristan da Cunha English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Philippine English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,C
Cape Flats English,Wider range of uses of progressive be + V-ing than in StE: extension to habitual contexts,D
Orkney and Shetland English,Invariant be as habitual marker,D
Scottish English,Invariant be as habitual marker,D
Irish English,Invariant be as habitual marker,B
Manx English,Invariant be as habitual marker,D
Welsh English,Invariant be as habitual marker,D
English dialects in the North of England,Invariant be as habitual marker,D
English dialects in the Southwest of England,Invariant be as habitual marker,C
East Anglian English,Invariant be as habitual marker,D
English dialects in the Southeast of England,Invariant be as habitual marker,D
Channel Islands English,Invariant be as habitual marker,D
British Creole,Invariant be as habitual marker,D
Maltese English,Invariant be as habitual marker,D
Newfoundland English,Invariant be as habitual marker,X
